Bx,By,Bmagnetic,CoreLoss
7.22402e-07,-9.76413e-11,7.22402e-07,1.84507e-12
7.22419e-07,-1.18714e-10,7.22419e-07,1.84516e-12
7.2244e-07,-1.35899e-10,7.2244e-07,1.84526e-12
7.22463e-07,-1.49242e-10,7.22463e-07,1.84538e-12
7.22488e-07,-1.58938e-10,7.22488e-07,1.84551e-12
7.22513e-07,-1.65228e-10,7.22513e-07,1.84564e-12
7.2254e-07,-1.68315e-10,7.2254e-07,1.84577e-12
7.22566e-07,-1.68315e-10,7.22566e-07,1.84591e-12
7.22593e-07,-1.65228e-10,7.22593e-07,1.84605e-12
7.22619e-07,-1.58938e-10,7.22619e-07,1.84618e-12
7.22645e-07,-1.49242e-10,7.22645e-07,1.84631e-12
7.2267e-07,-1.35899e-10,7.2267e-07,1.84644e-12
7.22693e-07,-1.18714e-10,7.22693e-07,1.84655e-12
7.22713e-07,-9.76413e-11,7.22713e-07,1.84666e-12
7.22731e-07,-7.29111e-11,7.22731e-07,1.84675e-12
7.22744e-07,-4.51237e-11,7.22744e-07,1.84682e-12
7.22752e-07,-1.52833e-11,7.22752e-07,1.84686e-12
7.22755e-07,-1.24196e-11,7.22755e-07,1.84687e-12
6.59515e-07,-1.8873e-11,6.59515e-07,1.53782e-12
6.59519e-07,-5.5556e-11,6.59519e-07,1.53783e-12
6.59529e-07,-8.92817e-11,6.59529e-07,1.53788e-12
6.59545e-07,-1.18729e-10,6.59545e-07,1.53796e-12
6.59566e-07,-1.43247e-10,6.59566e-07,1.53806e-12
6.59591e-07,-1.62753e-10,6.59591e-07,1.53817e-12
6.59618e-07,-1.77534e-10,6.59618e-07,1.5383e-12
6.59646e-07,-1.88045e-10,6.59646e-07,1.53843e-12
6.59675e-07,-1.94749e-10,6.59675e-07,1.53856e-12
6.59705e-07,-1.98003e-10,6.59705e-07,1.5387e-12
6.59734e-07,-1.98003e-10,6.59734e-07,1.53884e-12
6.59764e-07,-1.94749e-10,6.59764e-07,1.53898e-12
6.59794e-07,-1.88045e-10,6.59794e-07,1.53912e-12
6.59823e-07,-1.77534e-10,6.59823e-07,1.53925e-12
6.59851e-07,-1.62753e-10,6.59851e-07,1.53938e-12
6.59878e-07,-1.43247e-10,6.59878e-07,1.53951e-12
6.59902e-07,-1.18729e-10,6.59902e-07,1.53962e-12
6.59924e-07,-8.92817e-11,6.59924e-07,1.53972e-12
6.5994e-07,-5.5556e-11,6.5994e-07,1.5398e-12
6.5995e-07,-1.8873e-11,6.5995e-07,1.53985e-12
6.59954e-07,-1.52833e-11,6.59954e-07,1.53986e-12
5.96645e-07,-2.35258e-11,5.96645e-07,1.2586e-12
5.9665e-07,-6.89457e-11,5.9665e-07,1.25862e-12
5.96663e-07,-1.09931e-10,5.96663e-07,1.25868e-12
5.96684e-07,-1.44745e-10,5.96684e-07,1.25876e-12
5.9671e-07,-1.72792e-10,5.9671e-07,1.25887e-12
5.9674e-07,-1.94331e-10,5.9674e-07,1.259e-12
5.96771e-07,-2.10096e-10,5.96771e-07,1.25913e-12
5.96804e-07,-2.20961e-10,5.96804e-07,1.25927e-12
5.96837e-07,-2.27718e-10,5.96837e-07,1.25941e-12
5.9687e-07,-2.30945e-10,5.9687e-07,1.25955e-12
5.96903e-07,-2.30945e-10,5.96903e-07,1.25969e-12
